Vpanel:12.99	Apanel:1.06	Watt:13.73	Vbatt:12.13	Abatt:0.40	outpwm:1125   	MPTT:1   	Count:5   	StA:5.00

Vpanel:12.96	Apanel:1.10	Watt:14.30	Vbatt:12.11	Abatt:0.44	outpwm:1130   	MPTT:1   	Count:5   	StA:5.00

Vpanel:12.92	Apanel:1.16	Watt:15.05	Vbatt:12.11	Abatt:0.49	outpwm:1135   	MPTT:3   	Count:5   	StA:5.00

Vpanel:12.90	Apanel:1.24	Watt:15.93	Vbatt:12.08	Abatt:0.56	outpwm:1140   	MPTT:1   	Count:5   	StA:5.00

Vpanel:12.86	Apanel:1.29	Watt:16.59	Vbatt:12.07	Abatt:0.58	outpwm:1145   	MPTT:1   	Count:5   	StA:5.00

Vpanel:12.81	Apanel:1.33	Watt:17.06	Vbatt:12.05	Abatt:0.66	outpwm:1150   	MPTT:1   	Count:5   	StA:5.00

Vpanel:12.81	Apanel:1.41	Watt:18.08	Vbatt:12.04	Abatt:0.73	outpwm:1155   	MPTT:1   	Count:5   	StA:5.00

Vpanel:12.76	Apanel:1.44	Watt:18.38	Vbatt:12.03	Abatt:0.78	outpwm:1160   	MPTT:1   	Count:5   	StA:5.00

Vpanel:12.73	Apanel:1.53	Watt:19.50	Vbatt:12.00	Abatt:0.81	outpwm:1165   	MPTT:1   	Count:5   	StA:5.00

Vpanel:12.69	Apanel:1.58	Watt:20.00	Vbatt:11.98	Abatt:0.90	outpwm:1160   	MPTT:-1   	Count:5   	StA:-5.00

Vpanel:12.72	Apanel:1.49	Watt:19.00	Vbatt:12.00	Abatt:0.81	outpwm:1155   	MPTT:-1   	Count:5   	StA:-5.00

Vpanel:12.77	Apanel:1.45	Watt:18.54	Vbatt:12.04	Abatt:0.75	outpwm:1150   	MPTT:-1   	Count:5   	StA:-5.00

Vpanel:12.81	Apanel:1.38	Watt:17.66	Vbatt:12.05	Abatt:0.70	outpwm:1145   	MPTT:-1   	Count:5   	StA:-5.00

Vpanel:12.85	Apanel:1.30	Watt:16.73	Vbatt:12.07	Abatt:0.65	outpwm:1140   	MPTT:-3   	Count:5   	StA:-5.00

Vpanel:12.88	Apanel:1.25	Watt:16.07	Vbatt:12.08	Abatt:0.55	outpwm:1135   	MPTT:-1   	Count:5   	StA:-5.00

Vpanel:12.90	Apanel:1.19	Watt:15.36	Vbatt:12.10	Abatt:0.52	outpwm:1130   	MPTT:-1   	Count:5   	StA:-5.00

Vpanel:12.93	Apanel:1.13	Watt:14.57	Vbatt:12.11	Abatt:0.46	outpwm:1125   	MPTT:-1   	Count:5   	StA:-5.00

Vpanel:12.96	Apanel:1.05	Watt:13.67	Vbatt:12.13	Abatt:0.40	outpwm:1120   	MPTT:-1   	Count:5   	StA:-5.00
